;; Time (nanos);
Name file;HHO_MCF;HHO-5LLH;HHO_Random
TSP100.txt;408390;390681;342883
TSP105.txt;213500;213607;187768
TSP110.txt;209407;225982;201914
TSP115.txt;235244;234030;210452
TSP120.txt;227279;239289;208710
TSP125.txt;228011;256016;225246
TSP130.txt;247839;272855;237276
TSP135.txt;383794;498690;242461
TSP140.txt;614520;698543;367607
TSP145.txt;463012;722791;451078
TSP150.txt;196712;625187;489139
TSP155.txt;212027;365665;244659
TSP160.txt;212619;335131;232059
TSP165.txt;233464;292640;225375
TSP170.txt;223802;349682;225083
TSP175.txt;246915;529521;218439
TSP180.txt;243116;439459;252001
TSP185.txt;240351;407514;263828
TSP190.txt;259829;290017;280183
TSP195.txt;272359;354706;255794
TSP200.txt;282194;360315;286608
TSP205.txt;286050;319179;401052
TSP210.txt;316104;308109;353158
TSP215.txt;291206;310475;304152
TSP220.txt;282520;299085;316046
TSP225.txt;282583;335303;282568
TSP230.txt;305331;353866;285906
TSP235.txt;310823;326654;296876
TSP240.txt;308190;378151;295157
TSP245.txt;311993;359235;301437
TSP250.txt;287930;398655;306361
TSP255.txt;350279;433938;326954
TSP260.txt;332332;372926;318288
TSP265.txt;348129;409770;337896
TSP270.txt;362175;454671;320285
TSP275.txt;381901;419294;350326
TSP280.txt;395904;448120;373287
TSP285.txt;389143;428074;387963
TSP290.txt;414246;470374;498167
TSP295.txt;338977;477415;525183
TSP300.txt;369745;609645;412669
TSP305.txt;360023;482622;419354
TSP310.txt;397091;513465;516272
TSP315.txt;390107;499338;405959
TSP320.txt;399276;483217;445847
TSP325.txt;468559;497382;432275
TSP330.txt;444215;461273;462805
TSP335.txt;400897;523105;452967
TSP340.txt;455099;564209;448130
TSP345.txt;467578;536422;483075
TSP350.txt;482583;548472;512233
